@ 2001,2011,2021
Zagrebacka,309696,317606,299985
Krapinsko-zagorska,142432,132892,120702
Sisacko-moslavacka,185387,172439,139603
Karlovacka,141787,128899,112195
Varazdinska,184769,175951,159487
Koprivnicko-krizevacka,124467,115584,101221
Bjelovarska-bilogorska,133084,119764,101879
Primorsko-goranska,305505,296195,265419
Licko-senjska,53677,50927,42748
Viroviticko-podravska,93389,84836,70368
Pozesko-slavonska,85831,78034,64084
Brodsko-posavska,176765,158575,130267
Zadarska,162045,170017,159766
Osjecko-baranjska,330506,305032,258026
Sibensko-kninska,112891,109375,96381
Vukovarsko-srijemska,204768,179521,143113
Splitsko-dalmatinska,463676,454798,423407
Istarska,206344,208055,195237
Dubrovacko-neretvanska,122870,122568,115564
Medimurska,118426,113804,105250
Grad Zagreb,779145,790017,767131


